District,Latitude,Longitude
Bagerhat,22.651568,89.785938
Bandarban,22.195327,92.218376
Barguna,22.0953,90.1121
Barishal,22.7010,90.3535
Bhola,22.685923,90.648179
Bogura,24.8481,89.3730
Brahmanbaria,23.957097,91.111928
Chandpur,23.2321,90.6631
Chapainawabganj,24.5965,88.2775
Chattogram,22.3569,91.7832
Chuadanga,23.6401961,88.841841
Cox's Bazar,21.4272,92.0058
Cumilla,23.4607,91.1809
Dhaka,23.8103,90.4125
Dinajpur,25.6217,88.6355
Faridpur,23.6071,89.8429
Feni,23.0186,91.3966
Gaibandha,25.3288,89.5281
Gazipur,24.0958,90.4125
Gopalganj,23.005084,89.826605
Habiganj,24.374945,91.41553
Jamalpur,24.9375,89.9378
Jashore,23.16643,89.208112
Jhalokati,22.6406,90.1987
Jhenaidah,23.544817,89.153921
Joypurhat,25.0968,89.0227
Khagrachhari,23.1116,91.9906
Khulna,22.8456,89.5403
Kishoreganj,24.444937,90.776575
Kurigram,25.805445,89.636174
Kushtia,23.901258,89.120482
Lakshmipur,22.944674,90.828191
Lalmonirhat,25.916545,89.453240
Madaripur,23.164102,90.1896805
Magura,23.487337,89.419956
Manikganj,23.8644,90.0047
Meherpur,23.762213,88.631821
Moulvibazar,24.482934,91.777417
Munshiganj,23.5422,90.5305
Mymensingh,24.7471,90.4203
Naogaon,24.7936,88.9318
Narail,23.172534,89.512672
Narayanganj,23.63366,90.496482
Narsingdi,23.932233,90.71541
Natore,24.420556,88.985269
Netrokona,24.870955,90.727887
Nilphamari,25.931794,88.856006
Noakhali,22.869563,91.099398
Pabna,24.006363,89.254549
Panchagarh,26.3411,88.5542
Patuakhali,22.3596316,90.3298712
Pirojpur,22.5841,89.9720
Rajbari,23.757434,89.644466
Rajshahi,24.3745,88.6042
Rangamati,22.7324,92.2985
Rangpur,25.7486,89.2604
Satkhira,22.7185,89.0705
Shariatpur,23.2423,90.4348
Sherpur,25.0204933,90.0152966
Sirajganj,24.4533978,89.7008156
Sunamganj,25.0658042,91.3950115
Sylhet,24.8949,91.8687
Tangail,24.2513,89.9167
Thakurgaon,26.0336945,88.4616834